STATISTIC,Statistic Label,TLIST(A1),CensusYear,C02199V02655,Sex,Column1,Single Year of Age,UNIT,VALUE,AgeNum,Band
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,032,32 years,Number,205,32,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,033,33 years,Number,166,33,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,034,34 years,Number,209,34,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,035,35 years,Number,262,35,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,036,36 years,Number,287,36,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,037,37 years,Number,270,37,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,038,38 years,Number,295,38,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,039,39 years,Number,337,39,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,040,40 years,Number,353,40,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,041,41 years,Number,399,41,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,042,42 years,Number,401,42,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,043,43 years,Number,393,43,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,044,44 years,Number,418,44,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,045,45 years,Number,438,45,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,046,46 years,Number,454,46,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,047,47 years,Number,533,47,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,048,48 years,Number,621,48,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,049,49 years,Number,619,49,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,050,50 years,Number,635,50,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,051,51 years,Number,695,51,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,052,52 years,Number,749,52,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,053,53 years,Number,727,53,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,054,54 years,Number,823,54,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,055,55 years,Number,778,55,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,056,56 years,Number,904,56,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,057,57 years,Number,931,57,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,058,58 years,Number,979,58,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,059,59 years,Number,1018,59,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,060,60 years,Number,987,60,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,061,61 years,Number,1057,61,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,062,62 years,Number,1110,62,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,063,63 years,Number,1088,63,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,064,64 years,Number,1090,64,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,065,65 years,Number,1052,65,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,066,66 years,Number,1064,66,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,067,67 years,Number,1051,67,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,068,68 years,Number,1035,68,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,069,69 years,Number,1111,69,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,070,70 years,Number,1122,70,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,071,71 years,Number,1167,71,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,072,72 years,Number,1221,72,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,073,73 years,Number,1294,73,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,074,74 years,Number,1318,74,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,075,75 years,Number,1363,75,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,076,76 years,Number,1447,76,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,077,77 years,Number,1388,77,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,078,78 years,Number,1560,78,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,079,79 years,Number,1511,79,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,080,80 years,Number,1428,80,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,081,81 years,Number,1500,81,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,082,82 years,Number,1597,82,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,083,83 years,Number,1706,83,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,084,84 years,Number,1680,84,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,085,85 years,Number,1698,85,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,086,86 years,Number,1737,86,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,087,87 years,Number,1686,87,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,088,88 years,Number,1638,88,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,089,89 years,Number,1410,89,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,090,90 years,Number,1318,90,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,091,91 years,Number,1356,91,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,092,92 years,Number,1005,92,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,093,93 years,Number,939,93,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,094,94 years,Number,725,94,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,095,95 years,Number,588,95,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,096,96 years,Number,423,96,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,097,97 years,Number,339,97,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,098,98 years,Number,241,98,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,099,99 years,Number,182,99,65+
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,2,Female,650,100 years and over,Number,302,100,65+
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,200,Under 1 year,Number,71,0,0-3
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,001,1 year,Number,155,1,0-3
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,002,2 years,Number,220,2,0-3
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,003,3 years,Number,314,3,0-3
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,004,4 years,Number,341,4,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,005,5 years,Number,390,5,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,006,6 years,Number,468,6,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,007,7 years,Number,460,7,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,008,8 years,Number,527,8,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,009,9 years,Number,563,9,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,010,10 years,Number,588,10,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,011,11 years,Number,589,11,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,012,12 years,Number,607,12,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,013,13 years,Number,546,13,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,014,14 years,Number,494,14,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,015,15 years,Number,446,15,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,016,16 years,Number,457,16,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,017,17 years,Number,401,17,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,018,18 years,Number,399,18,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,019,19 years,Number,405,19,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,020,20 years,Number,337,20,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,021,21 years,Number,347,21,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,022,22 years,Number,359,22,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,023,23 years,Number,343,23,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,024,24 years,Number,329,24,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,025,25 years,Number,339,25,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,026,26 years,Number,347,26,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,027,27 years,Number,326,27,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,028,28 years,Number,272,28,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,029,29 years,Number,344,29,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,030,30 years,Number,379,30,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,031,31 years,Number,357,31,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,032,32 years,Number,384,32,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,033,33 years,Number,364,33,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,034,34 years,Number,428,34,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,035,35 years,Number,477,35,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,036,36 years,Number,463,36,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,037,37 years,Number,550,37,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,038,38 years,Number,594,38,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,039,39 years,Number,641,39,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,040,40 years,Number,698,40,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,041,41 years,Number,762,41,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,042,42 years,Number,746,42,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,043,43 years,Number,764,43,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,044,44 years,Number,860,44,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,045,45 years,Number,896,45,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,046,46 years,Number,910,46,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,047,47 years,Number,975,47,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,048,48 years,Number,1041,48,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,049,49 years,Number,1143,49,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,050,50 years,Number,1232,50,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,051,51 years,Number,1328,51,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,052,52 years,Number,1276,52,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,053,53 years,Number,1399,53,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,054,54 years,Number,1458,54,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,055,55 years,Number,1540,55,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,056,56 years,Number,1579,56,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,057,57 years,Number,1662,57,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,058,58 years,Number,1753,58,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,059,59 years,Number,1966,59,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,060,60 years,Number,1902,60,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,061,61 years,Number,2088,61,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,062,62 years,Number,2054,62,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,063,63 years,Number,2157,63,4-64
F4006C13,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to some extent",2022,2022,1,Male,064,64 years,Number,2176,64,4-64
